Status_des_Girokontos,Dauer_in_Monaten,Kreditgeschichte,Kreditverwendungszweck,Kreditbetrag,Sparkonto_Wertpapiere,Beschäftigt_seit,Ratenhöhe,Familienstand_Geschlecht,Weitere_Bürgen_Schuldner,Wohnsitzdauer,Vermögen,Alter,Andere_Ratenverpflichtungen,Wohnsituation,Anzahl_bestehender_Kredite,Beruf,Unterhaltspflichtige_Personen,Telefon,Ausländischer_Arbeiter,Ziel
0 <= ... < 200 DM,11,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,4771,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,51,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,54,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Auto (gebraucht),9436,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,39,Keine,Eigentum,1,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,30,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3832,... < 100 DM,... < 1 Jahr,2,männlich : verheiratet/witwer,keine,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,22,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,5943,unbekannt/kein Sparkonto,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",44,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1213,500 <= ... < 1000 DM,.. >= 7 Jahre,4,männlich : ledig,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,47,Läden,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,1568,100 <= ... < 500 DM,1 <= ... < 4 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,24,Keine,Miete,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Sonstiges,1755,... < 100 DM,.. >= 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,Bürge,4,Immobilie,58,Keine,Eigentum,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,10,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2315,... < 100 DM,.. >= 7 Jahre,3,männlich : ledig,keine,4,Immobilie,52,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Geschäft,1412,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,Bürge,2,Immobilie,29,Keine,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,1295,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,27,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,12612,100 <= ... < 500 DM,1 <= ... < 4 Jahre,1,männlich : ledig,keine,4,unbekannt/kein Eigentum,47,Keine,kostenlos,1,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),2249,100 <= ... < 500 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",30,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,12,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Reparaturen,1108,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,3,Immobilie,28,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,618,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,Immobilie,56,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),1409,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,3,Immobilie,54,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,797,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,33,Bank,Eigentum,1,ungelernt - ansässig,2,kein Telefon,ja,schlechter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,3617,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,Mit-Antragsteller,4,unbekannt/kein Eigentum,20,Keine,Miete,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1318,.. >= 1000 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,Immobilie,54,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,54,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Geschäft,15945,... < 100 DM,... < 1 Jahr,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,58,Keine,Miete,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Ausbildung,2012,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",61,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,2622,100 <= ... < 500 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",34,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,36,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,2337,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,Immobilie,36,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,20,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (gebraucht),7057,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,3,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,36,Bank,Miete,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1469,100 <= ... < 500 DM,.. >= 7 Jahre,4,männlich : verheiratet/witwer,keine,4,Immobilie,41,Keine,Miete,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2323,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,6,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,932,... < 100 DM,1 <= ... < 4 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,2,Immobilie,24,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,9,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,1919,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",35,Keine,Miete,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),2445,unbekannt/kein Sparkonto,... < 1 Jahr,2,männlich : verheiratet/witwer,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",26,Keine,Miete,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Sonstiges,11938,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,Mit-Antragsteller,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",39,Keine,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,18,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Auto (neu),6458,... < 100 DM,.. >= 7 Jahre,2,männlich : ledig,keine,4,unbekannt/kein Eigentum,39,Bank,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),6078,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",32,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,7721,unbekannt/kein Sparkonto,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,30,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",nein,guter Kredit
0 <= ... < 200 DM,14,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,1410,500 <= ... < 1000 DM,.. >= 7 Jahre,1,männlich : verheiratet/witwer,keine,2,Immobilie,35,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,6,Verzögerungen bei der Rückzahlung in der Vergangenheit,Geschäft,1449,100 <= ... < 500 DM,.. >= 7 Jahre,1,männlich : geschieden/getrennt,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",31,Bank,Eigentum,2,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,392,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,23,Keine,Miete,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),6260,... < 100 DM,4 <= ... < 7 Jahre,3,männlich : ledig,keine,3,Immobilie,28,Keine,Miete,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,36,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),7855,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,Immobilie,25,Läden,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1680,500 <= ... < 1000 DM,.. >= 7 Jahre,3,männlich : verheiratet/witwer,keine,1,Immobilie,35,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,48,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,3578,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,1,Immobilie,47,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,42,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,7174,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",30,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,10,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,2132,unbekannt/kein Sparkonto,... < 1 Jahr,2,weiblich : geschieden/getrennt/verheiratet,Mit-Antragsteller,3,Immobilie,27,Keine,Miete,2,gelernt - Angestellter/Beamter,1,kein Telefon,nein,guter Kredit
... < 0 DM,33,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,4281,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",23,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),2366,500 <= ... < 1000 DM,4 <= ... < 7 Jahre,3,männlich : geschieden/getrennt,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",36,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,21,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1835,... < 100 DM,1 <= ... < 4 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,2,Immobilie,25,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),3868,... < 100 DM,.. >= 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",41,Keine,Miete,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1768,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : ledig,keine,2,Immobilie,24,Keine,Miete,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,10,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),781,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,63,Keine,kostenlos,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1924,unbekannt/kein Sparkonto,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,3,Immobilie,27,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),2121,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,30,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,701,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : verheiratet/witwer,keine,2,Immobilie,40,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Reparaturen,639,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",30,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),1860,... < 100 DM,arbeitslos,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",34,Keine,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),3499,... < 100 DM,1 <= ... < 4 Jahre,3,weiblich : geschieden/getrennt/verheiratet,Mit-Antragsteller,2,Immobilie,29,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),8487,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,36,Verzögerungen bei der Rückzahlung in der Vergangenheit,Ausbildung,6887,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,29,Läden,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2708,... < 100 DM,... < 1 Jahr,2,männlich : ledig,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,27,Bank,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1984,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,47,Bank,kostenlos,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,60,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,10144,100 <= ... < 500 DM,4 <= ... < 7 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,21,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,1240,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,Immobilie,38,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,27,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (gebraucht),8613,.. >= 1000 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",27,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,766,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,3,Immobilie,66,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,15,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,2728,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,4,männlich : ledig,Bürge,2,Immobilie,35,Bank,Eigentum,3,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1881,... < 100 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",44,Keine,Miete,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),709,.. >= 1000 DM,... < 1 Jahr,2,männlich : verheiratet/witwer,keine,2,Immobilie,27,Keine,Eigentum,1,arbeitslos/ungelernt - nicht ansässig,1,kein Telefon,nein,guter Kredit
0 <= ... < 200 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,4795,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,1,unbekannt/kein Eigentum,30,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,27,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3416,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",27,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
